Song Name,Query_0,Query_1,Query_2,Query_3,Query_4
幻想即兴曲 NOTINLIST.mp3,0,0,0,0,0
ONE DANCE NOTINLIST.mp3,0,0,0,0,0
jazz piano NOTINLIST.mp3,0,0,0,0,0
industry baby-NOTINLIST.mp3,0,0,0,0,0
Tadow NOTINLIST.mp3,0,0,0,0,0
careless whisper NOTINLIST.mp3,0,0,0,0,0
As it was NOTINLIST.mp3,0,0,0,0,0
ive got you under my skin NOTINLIST.mp3,0,0,0,0,0
RIP screw NOTINLIST.mp3,0,0,0,0,0
YOSEMITE NOTINLIST.mp3,0,0,0,0,0
Tripping on me NOTINLIST.mp3,0,0,0,0,0
Valentino NOTINLIST.mp3,0,0,0,0,0
Cafe-last Carnival-acoustic NOTINLIST.mp3,0,0,0,0,0
dont start now NOTINLIST.mp3,0,0,0,0,0
"马思唯,step.jad依加,Higher Brothers - 花花公子 (feat. step.jad).mp3",1,1,1,1,1
Lopu$ - So Cute~.mp3,0,0,0,0,1
"颜人中,VaVa毛衍七 - 祝你爱我到天荒地老.mp3",0,0,0,0,0
嘻笑堂 - 《湮灭辉飞》.mp3,0,0,0,0,0
Lianxi.mp3,0,0,0,0,0
"KEY.L刘聪,c0de731 - 长沙HOOD.mp3",1,1,1,1,1
王以太 - 童言无忌 (Live).mp3,0,0,0,0,0
Rich Brian - 100 Degrees.mp3,0,0,0,0,0
马思唯 - 为什么.mp3,0,0,1,0,0
蔡徐坤 - 情人.mp3,0,0,0,0,0
"马思唯,Higher Brothers - 黑马王子.mp3",1,1,1,1,1
嘻笑堂-Sensitive.mp3,0,0,1,0,0
Charlie Puth - Light Switch [Official Music Video].mp3,0,0,0,0,0
"马思唯,Higher Brothers - 跑得脱马脑壳.mp3",1,1,0,0,1
Lianxi.mp3,1,1,1,1,1
没离开过.mp3,0,1,0,1,0
